id,State,City,FAA,IATA,ICAO,Airport
217,New Jersey,Atlantic City,ACY,ACY,KACY,Atlantic City International Airport
218,New Jersey,Newark,EWR,EWR,KEWR,Newark Liberty International Airport
219,New Jersey,Trenton,TTN,TTN,KTTN,Trenton Mercer Airport
220,New Mexico,Albuquerque,ABQ,ABQ,KABQ,Albuquerque International Sunport
221,New Mexico,Hobbs,HOB,HOB,KHOB,Lea County Regional Airport
222,New Mexico,Roswell,ROW,ROW,KROW,Roswell Air Center
223,New Mexico,Santa Fe,SAF,SAF,KSAF,Santa Fe Municipal Airport
224,New York,Albany,ALB,ALB,KALB,Albany International Airport
225,New York,Binghamton,BGM,BGM,KBGM,Greater Binghamton Airport (Edwin A. Link Field)
226,New York,Buffalo,BUF,BUF,KBUF,Buffalo Niagara International Airport
227,New York,Elmira / Corning,ELM,ELM,KELM,Elmira/Corning Regional Airport
228,New York,Ithaca,ITH,ITH,KITH,Ithaca Tompkins International Airport
229,New York,New York,JFK,JFK,KJFK,John F. Kennedy International Airport (was New York International Airport)
230,New York,New York,LGA,LGA,KLGA,LaGuardia Airport (and Marine Air Terminal)
231,New York,New York / Islip,ISP,ISP,KISP,Long Island MacArthur Airport
232,New York,Newburgh,SWF,SWF,KSWF,New York Stewart International Airport
233,New York,Niagara Falls,IAG,IAG,KIAG,Niagara Falls International Airport
234,New York,Ogdensburg,OGS,OGS,KOGS,Ogdensburg International Airport
235,New York,Plattsburgh,PBG,PBG,KPBG,Plattsburgh International Airport
236,New York,Rochester,ROC,ROC,KROC,Frederick Douglass/Greater Rochester International Airport
237,New York,Syracuse,SYR,SYR,KSYR,Syracuse Hancock International Airport
238,New York,Watertown,ART,ART,KART,Watertown International Airport
239,New York,White Plains,HPN,HPN,KHPN,Westchester County Airport
240,North Carolina,Asheville,AVL,AVL,KAVL,Asheville Regional Airport
241,North Carolina,Charlotte,CLT,CLT,KCLT,Charlotte Douglas International Airport
242,North Carolina,Concord,JQF,USA,KJQF,Concord-Padgett Regional Airport
243,North Carolina,Fayetteville,FAY,FAY,KFAY,Fayetteville Regional Airport (Grannis Field)
244,North Carolina,Greensboro,GSO,GSO,KGSO,Piedmont Triad International Airport
245,North Carolina,Greenville,PGV,PGV,KPGV,Pitt–Greenville Airport
246,North Carolina,Jacksonville,OAJ,OAJ,KOAJ,Albert J. Ellis Airport
247,North Carolina,New Bern,EWN,EWN,KEWN,Coastal Carolina Regional Airport (was Craven County Regional)
248,North Carolina,Raleigh,RDU,RDU,KRDU,Raleigh–Durham International Airport
249,North Carolina,Wilmington,ILM,ILM,KILM,Wilmington International Airport
250,North Dakota,Bismarck,BIS,BIS,KBIS,Bismarck Municipal Airport
251,North Dakota,Dickinson,DIK,DIK,KDIK,Dickinson Theodore Roosevelt Regional Airport
252,North Dakota,Fargo,FAR,FAR,KFAR,Hector International Airport
253,North Dakota,Grand Forks,GFK,GFK,KGFK,Grand Forks International Airport
254,North Dakota,Jamestown,JMS,JMS,KJMS,Jamestown Regional Airport
255,North Dakota,Minot,MOT,MOT,KMOT,Minot International Airport
256,North Dakota,Williston,XWA,XWA,KXWA,Williston Basin International Airport
257,Ohio,Akron / Canton,CAK,CAK,KCAK,Akron-Canton Regional Airport
258,Ohio,Cleveland,CLE,CLE,KCLE,Cleveland Hopkins International Airport
259,Ohio,Columbus,CMH,CMH,KCMH,John Glenn Columbus International Airport
260,Ohio,Columbus,LCK,LCK,KLCK,Rickenbacker International Airport
261,Ohio,Dayton,DAY,DAY,KDAY,James M. Cox Dayton International Airport
262,Ohio,Toledo,TOL,TOL,KTOL,Eugene F. Kranz Toledo Express Airport
263,Oklahoma,Lawton,LAW,LAW,KLAW,Lawton–Fort Sill Regional Airport
264,Oklahoma,Oklahoma City,OKC,OKC,KOKC,Will Rogers World Airport
265,Oklahoma,Stillwater,SWO,SWO,KSWO,Stillwater Regional Airport
266,Oklahoma,Tulsa,TUL,TUL,KTUL,Tulsa International Airport
267,Oregon,Eugene,EUG,EUG,KEUG,Mahlon Sweet Field
268,Oregon,Medford,MFR,MFR,KMFR,Rogue Valley International–Medford Airport
269,Oregon,North Bend,OTH,OTH,KOTH,Southwest Oregon Regional Airport (was North Bend Municipal)
