id,State,City,FAA,IATA,ICAO,Airport
348,Washington,Spokane,GEG,GEG,KGEG,Spokane International Airport (Geiger Field)
349,Washington,Walla Walla,ALW,ALW,KALW,Walla Walla Regional Airport
350,Washington,Wenatchee,EAT,EAT,KEAT,Pangborn Memorial Airport
351,Washington,Yakima,YKM,YKM,KYKM,Yakima Air Terminal (McAllister Field)
352,West Virginia,Charleston,CRW,CRW,KCRW,Yeager Airport
353,West Virginia,Clarksburg,CKB,CKB,KCKB,North Central West Virginia Airport (was Harrison-Marion Regional)
354,West Virginia,Huntington,HTS,HTS,KHTS,Tri-State Airport (Milton J. Ferguson Field)
355,West Virginia,Lewisburg,LWB,LWB,KLWB,Greenbrier Valley Airport
356,Wisconsin,Appleton,ATW,ATW,KATW,Appleton International Airport
357,Wisconsin,Eau Claire,EAU,EAU,KEAU,Chippewa Valley Regional Airport
358,Wisconsin,Green Bay,GRB,GRB,KGRB,Green Bay–Austin Straubel International Airport
359,Wisconsin,La Crosse,LSE,LSE,KLSE,La Crosse Regional Airport
360,Wisconsin,Madison,MSN,MSN,KMSN,Dane County Regional Airport (Truax Field)
361,Wisconsin,Milwaukee,MKE,MKE,KMKE,Milwaukee Mitchell International Airport
362,Wisconsin,Mosinee,CWA,CWA,KCWA,Central Wisconsin Airport
363,Wisconsin,Rhinelander,RHI,RHI,KRHI,Rhinelander–Oneida County Airport
364,Wyoming,Casper,CPR,CPR,KCPR,Casper–Natrona County International Airport
365,Wyoming,Cody,COD,COD,KCOD,Yellowstone Regional Airport
366,Wyoming,Gillette,GCC,GCC,KGCC,Gillette–Campbell County Airport
367,Wyoming,Jackson,JAC,JAC,KJAC,Jackson Hole Airport
368,Wyoming,Laramie,LAR,LAR,KLAR,Laramie Regional Airport
369,Wyoming,Riverton,RIW,RIW,KRIW,Central Wyoming Regional Airport (was Riverton Regional)
370,Wyoming,Rock Springs,RKS,RKS,KRKS,Southwest Wyoming Regional Airport (Rock Springs–Sweetwater County Airport)
371,Wyoming,Sheridan,SHR,SHR,KSHR,Sheridan County Airport
372,Guam,Agana / Tamuning,GUM,GUM,PGUM,Antonio B. Won Pat International Airport
373,Northern Marianas,"Obyan, Saipan Island",GSN,SPN,PGSN,Saipan International Airport (Francisco C. Ada)
374,Northern Marianas,Tinian Island,TNI,TIQ,PGWT,Tinian International Airport (West Tinian)
375,Puerto Rico,Aguadilla,BQN,BQN,TJBQ,Rafael Hernández Airport
376,Puerto Rico,Ceiba,RVR,NRR,TJRV,José Aponte de la Torre Airport
377,Puerto Rico,Culebra,CPX,CPX,TJCP,Benjamín Rivera Noriega Airport
378,Puerto Rico,Ponce,PSE,PSE,TJPS,Mercedita Airport
379,Puerto Rico,San Juan,SIG,SIG,TJIG,Fernando Luis Ribas Dominicci Airport (Isla Grande Airport)
380,Puerto Rico,San Juan / Carolina,SJU,SJU,TJSJ,Luis Muñoz Marín International Airport
381,Puerto Rico,Vieques,VQS,VQS,TJVQ,Antonio Rivera Rodríguez Airport
382,Virgin Islands,"Charlotte Amalie, St. Thomas",STT,STT,TIST,Cyril E. King Airport
383,Virgin Islands,"Christiansted, St. Croix",STX,STX,TISX,Henry E. Rohlsen Airport
